5.661392363091286711e-02,-1.735897764961634948e+00
1.381438415102198836e-01,-1.476294602406778234e+00
2.279671659520054461e-01,-1.118552930461116368e+00
3.199952128042387600e-01,-4.348606813979852825e-01
4.848908280157001593e-01,5.698586289600485189e-02
5.619103657174293609e-01,4.475869467486459641e-01
6.058776928320330768e-01,1.241774280257117724e-01
7.789626048799154212e-01,3.766868212460964260e-01
9.822416497824202342e-01,3.628716155889916140e-01
1.035922397826781971e+00,4.128852238968890864e-01
